VRAC,VRACR,CZA,VRAL,VRALR,VRAD,VRADR,CZO,CZB,VRCA,VRCAR,VRCV,VRCVR,VRLV,VRLVR,VRLR,VRLRR,VRCR,VRCRR,VRCHD,VRCHDR,CZS,VRDIA,VRDIAR,VRDIB,VRDIBR,VRDI,VRDIR,VRDID,VRDIDR,VRDO,VRDOR,VRBC,VRBCR,VRFI,VRFIR,VRHD,VRHDR,CZH,VFHO,VRHOR,VRFLU,VRFLUR,VRIN,VRINR,CZL,VRLE,VRLB,VRLBR,VRMV,VRMVR,CZT,VRNE,VRNER,POP,CZP,VRPR,VRPRR,CZR,VRST,VRSTR,VRSU,VRSUR,VRTO,VRTOR,CDTBR,CZV
670.0,25.5,13759.0,147.0,5.6,345.0,15.3,0.0,26213.0,4479.0,189.4,50.0,3.7,224.0,8.9,609.0,26.8,473.0,20.2,3112.0,132.8,0.0,595.0,25.2,1581.0,67.7,8018.0,341.4,279.0,10.4,266.0,9.9,345.0,25.0,341.0,11.2,5057.0,214.3,432.0,419.0,14.1,433.0,18.7,1290.0,46.9,75302.0,74.1,1143.0,48.6,161.0,5.8,19084.0,502.0,21.4,11110.0,120599.0,270.0,31.9,14222.0,880.0,38.3,171.0,6.3,5615.0,239.8,0.0,28414.0
636.0,24.7,12409.0,172.0,6.6,370.0,16.3,0.0,26427.0,4316.0,182.5,59.0,4.2,238.0,9.4,649.0,28.5,475.0,20.2,3097.0,131.3,0.0,565.0,24.0,1571.0,66.8,7694.0,326.3,226.0,8.5,213.0,8.0,349.0,25.5,334.0,11.1,4991.0,210.8,432.0,399.0,13.5,466.0,19.8,1222.0,45.0,72966.0,75.1,1109.0,47.3,153.0,5.7,19451.0,452.0,19.4,2707123.0,118844.0,230.0,26.6,13988.0,886.0,38.3,160.0,5.8,5609.0,239.0,11.0,26829.0
791.0,29.9,12277.0,163.0,6.2,308.0,13.7,0.0,22757.0,4414.0,186.1,54.0,4.0,248.0,9.9,620.0,27.3,439.0,18.4,2969.0,126.1,0.0,614.0,25.6,1538.0,65.1,7790.0,330.0,378.0,13.9,367.0,13.4,369.0,26.7,400.0,13.3,4982.0,210.5,500.0,467.0,15.7,468.0,20.2,1478.0,53.8,73323.0,73.9,1092.0,46.2,183.0,6.5,17005.0,472.0,20.1,2714844.0,113085.0,239.0,28.4,13492.0,906.0,39.1,193.0,7.2,5707.0,242.4,0.0,26271.0
816.0,31.1,12117.0,188.0,7.3,350.0,15.4,431.0,17881.0,4513.0,190.0,58.0,4.1,292.0,11.7,653.0,28.5,453.0,19.2,2718.0,115.9,0.0,568.0,23.9,1525.0,64.5,7693.0,326.3,396.0,14.5,392.0,14.3,347.0,25.1,340.0,11.3,4902.0,207.5,417.0,418.0,14.1,429.0,18.5,1475.0,54.0,67479.0,71.5,1092.0,46.3,169.0,6.3,12690.0,445.0,19.1,2718789.0,98050.0,200.0,23.7,11836.0,946.0,40.7,205.0,7.5,5666.0,241.0,16.4,25710.0
790.0,30.0,12532.0,212.0,8.1,439.0,19.3,461.0,14560.0,4420.0,186.4,36.0,2.7,281.0,11.1,655.0,28.5,439.0,18.4,2709.0,115.2,1389.0,577.0,24.3,1533.0,64.8,7791.0,329.4,371.0,13.8,362.0,13.4,318.0,23.1,372.0,12.5,4844.0,204.8,415.0,440.0,14.9,430.0,18.6,1452.0,53.0,61236.0,73.8,1117.0,47.5,160.0,5.8,10002.0,496.0,21.4,2722407.0,85798.0,265.0,31.1,9804.0,968.0,41.4,199.0,7.3,5725.0,243.5,32.9,24140.0
824.0,31.2,13094.0,224.0,8.4,561.0,24.7,536.0,13170.0,4523.0,190.4,58.0,4.3,291.0,11.4,621.0,27.0,519.0,21.9,2534.0,107.7,1483.0,635.0,26.9,1530.0,64.6,7863.0,332.7,422.0,15.3,414.0,15.0,333.0,24.0,413.0,13.7,4913.0,207.4,481.0,488.0,16.5,418.0,17.6,1527.0,55.5,57211.0,74.0,1076.0,45.8,150.0,5.5,10200.0,451.0,19.3,2720556.0,80581.0,256.0,29.3,9643.0,1048.0,45.4,183.0,6.7,6097.0,258.6,11.0,24701.0
1127.0,42.4,42.9204,261.0,9.8,593.0,26.1,0.0,46.296,4420.0,185.9,50.0,3.7,252.0,10.0,617.0,27.0,421.0,17.5,2505.0,107.1,11.6914,629.0,26.6,1502.0,63.4,7634.0,323.3,691.0,25.4,681.0,25.0,364.0,26.4,631.0,20.9,4899.0,207.1,0.0,718.0,24.1,420.0,17.6,2079.0,75.0,1543.3718,73.9971,1031.0,43.9,149.0,5.4,32.4988,451.0,19.4,2704965.0,1622.1666,287.0,32.8,90.741,1065.0,46.0,197.0,7.2,6074.0,256.9,5.5,145.3528
1255.0,47.4,55.5552,223.0,8.5,537.0,23.5,0.9076,33.9518,4246.0,179.2,44.0,3.1,257.0,10.1,660.0,28.8,443.0,18.8,2265.0,96.6,11.982,614.0,25.9,1416.0,59.5,7361.0,312.2,770.0,28.4,762.0,28.1,353.0,25.6,578.0,18.9,4774.0,201.3,0.0,635.0,21.0,436.0,18.6,2137.0,77.3,1929.6912,74.0149,947.0,40.4,189.0,6.9,37.9844,451.0,19.4,2716462.0,2002.535,264.0,30.4,92.5604,1190.0,51.7,219.0,7.9,6107.0,258.2,0.0,160.0976
1295.0,49.0,61.7652,243.0,9.3,499.0,22.6,1.1982,20.1546,4108.0,175.6,35.0,2.7,252.0,10.2,681.0,29.9,428.0,18.1,2195.0,95.5,18.2994,591.0,25.1,1399.0,59.7,7351.0,317.2,792.0,29.1,784.0,28.8,331.0,24.7,438.0,13.8,4843.0,208.5,0.2906,527.0,17.0,465.0,20.3,2060.0,74.5,1842.4288,72.63753356,834.0,35.9,174.0,6.4,36.4198,517.0,22.4,2705988.0,1900.2014,240.0,25.7,87.5844,1165.0,50.9,202.0,7.2,6109.0,262.9,5.5,167.9396
1320.0,50.0,55.412,245.0,9.5,443.0,20.1,0.0,22.5152,4152.0,177.6,28.0,2.1,264.0,10.6,635.0,27.8,399.0,17.1,2140.0,93.1,8.9686,598.0,25.4,1382.0,58.8,7427.0,320.9,886.0,32.8,865.0,32.0,365.0,27.1,417.0,13.0,4831.0,208.4,0.9076,468.0,14.9,415.0,18.0,2046.0,74.1,1815.6768,72.076329935,869.0,37.7,166.0,5.9,48.2944,491.0,21.2,2693959.0,1886.4864,255.0,27.5,61.6978,1188.0,52.3,215.0,7.8,5997.0,258.2,0.0,126.986
1831.0,69.0,55.6984,315.0,12.0,527.0,23.9,3.8136,63.4456,4056.0,173.8,43.0,3.1,284.0,11.3,639.0,28.0,392.0,16.6,2320.0,100.9,8.0968,814.0,34.5,3627.0,155.3,7930.0,343.0,1224.0,45.2,1248.0,46.1,325.0,24.2,654.0,21.0,5325.0,229.4,0.0,723.0,23.5,475.0,20.5,2812.0,101.8,524.9904,71.31296602,842.0,36.6,254.0,9.1,45.5716,495.0,21.5,15814.0,637.8212,255.0,27.3,40.345,1366.0,60.0,228.0,8.3,6411.0,275.5,0.0,104.1402
